E_1,Pu1_1,Pu2_1,E_hybrid_1,seedEbest_1,seedNumber_3,pumin1_4u,pumin1_4d,pumin5_8d
-9.44,0.000129095,0.00950534,-17.45,-3.62,2.0,0.06777852,0.238389,0.04907411
-15.92,8.29921e-05,9.67061e-05,-26.89,-3.42,2.0,0.03622775,0.05557352,0.3112718
-14.54,0.000107086,1.38208e-06,-27.86,-2.93,4.0,0.04359102,0.290243,0.05079077
-18.21,6.76832e-05,5.38156e-06,-31.0,-3.62,2.0,0.2568942,0.05079077,0.1449496
-14.75,0.00570923,0.00427684,-21.0,-3.14,4.0,0.2025735,0.3616203,0.3585046
-18.84,1.89236e-05,6.65428e-05,-30.9,-5.97,2.0,0.3415313,0.3585046,0.3742831
-21.28,0.00106167,0.000648602,-29.63,-5.88,4.0,0.3616203,0.3585046,0.3566261
-18.58,5.42681e-05,0.000942608,-28.46,-3.99,4.0,0.06506901,0.08185012,0.1043367
-18.44,0.000153005,0.0131275,-26.16,-4.77,0.0,0.06506901,0.09727407,0.08906671
-22.51,3.45968e-06,0.000184451,-34.97,-6.78,2.0,0.08906671,0.2676053,0.1554531
-23.4,8.80884e-06,0.00224231,-33.84,-6.59,4.0,0.1143712,0.1330655,0.08409234
-25.3,3.92944e-05,0.00213086,-34.89,-5.64,4.0,0.1044483,0.08409234,0.6458936
-15.11,9.27181e-08,0.000438779,-29.19,-4.23,4.0,0.05393913,0.09844036,0.001491725
-10.23,0.0566023,0.465494,-12.37,-2.86,6.0,0.001491725,0.2345881,0.4043132
-11.22,0.0453835,0.00524419,-16.13,-2.75,4.0,0.4043132,0.3513244,0.2285956
-13.76,0.000682523,0.00151692,-21.87,-3.0,4.0,0.2285956,0.05799963,0.05286382
-13.91,1.00098e-08,0.000163766,-29.88,-2.71,4.0,0.01915905,0.002686658,0.1778598
-11.93,3.42999e-05,3.0717e-06,-25.45,-4.22,0.0,0.289342,0.1711619,0.2931516
-20.56,2.65826e-05,0.000181344,-31.83,-1.78,2.0,0.1711619,0.0220921,0.02217324
-19.37,1.41759e-05,3.73507e-07,-34.65,-4.73,4.0,0.0220921,0.2401849,0.1588874
-20.57,0.00632201,0.0207698,-25.83,-5.65,4.0,0.1588874,0.3091715,0.5648042
-18.86,0.0105256,0.0267996,-23.67,-6.25,4.0,0.3091715,0.5648042,0.7477696
-19.05,0.00843937,0.00176758,-25.59,-5.06,6.0,0.6252395,0.3660337,0.09905933
